product_model,product_name,product_price
,Spuma activa auto concentrata LIGHT Grass 5Kg,"52,00 lei"
,ASPIRATOR UMED-USCAT NT 22/1 Ap Te *EU,"965,00 lei"
Grass Light 5kg,ASPIRATOR USCAT - UMED NT 20/1 Ap Te *EU,"1 268,00 lei"
1.378-610.0,Aspirator uscat T 15/1 HEPA,"1 912,00 lei"
1.378-510.0,Aspirator uscat BV 5/1,"2 540,00 lei"
1.355-235.0,ASPIRATOR USCAT - UMED NT 40/1 Tact Te L,"2 992,00 lei"
1.148-311.0,Aparat de curatat cu inalta presiune HD 6/15 P Modul,"3 426,00 lei"
1.150-950.0,Aspirator uscat - umed NT 70/3,"3 850,00 lei"
1.667-270.0,Suflanta BLB 1060/36 Bp Pack,"4 363,00 lei"
1.667-270.0,CURATITOR CU APA SUB PRESIUNE HD 5/15 CX Plus + Fr Classic,"4 800,00 lei"
1.520-934.0,APARAT DE CURATAT CU INALTA PRESIUNE HD 9/20-4 Classic,"5 490,00 lei"
1.367-308.0,Generator PGG 8/3 pe benzina,"5 850,00 lei"
1.042-209.0,Masina de tuns iarba LM 530/36 Bp Pack,"6 462,00 lei"
1.042-501.0,Aparat de curatat cu inalta presiune HD 8/18-4 M Cage *EU-I,"7 033,00 lei"
1.524-981.0 ,Aparat de curatat cu inalta presiune HD 7/15 G,"8 550,00 lei"
1.524-981.0 ,Masina de frecat- aspirat BD 50/50 C Bp Classic +lama,"11 100,00 lei"
1.127-001.0,Curatitor de piese PC 100 M2 Bio,"18 039,34 lei"
1.626-722.0,Aspirator industrial IVS 100/40 *EU,
1.573-620.0,Masina de frecat aspirat B 90 R Adv Dose Bp,
1.573-620.0,MASINA DE FRECAT ASPIRAT BD 50/70 R Bp Pack Fleet Classic,"46 800,00 lei"
1.161-310.0,Masina de frecat aspirat B 95 RS,
1.006-200.2,MASINA DE MATURAT - ASPIRAT KM 105/110 R G,
1.006-200.2,MASINA DE MATURAT - ASPIRAT KM 105/110 R D,
0.300-210.0,MASINA DE MATURAT - ASPIRAT KM 105/110 R Bp Pack+KSSB,
 0.300-211.0,Masina de maturat - aspirat KM 120/150 R Bp Pack,
0.300-208.0,Utilaj de produs gheata carbonica IP 220,
1.511-110.0,MASINA DE FRECAT ASPIRAT BD 70/75 W Classic Bp,
1.574-112.0,Aspirator industrial IVC 60/12-1 Tact EC,
1.576-102.0,Aparat de curatat cu presiune HD 10/25-4 Cage Plus,
1.353-902.0,Aparat de curatat cu inalta presiune HD 17/14-4SX Plus,
 1.286-931.0,Boiler electric individual STATIONAR HWE 860,
