product_model,product_name,product_price
i-coroziune,Spuma activa auto concentrata LIGHT Grass 5Kg,"52,00 lei"
 6.295-849.,"Detergent pentru curatarea covoarelor, pudra, RM 760, 0.8 kg","80,00 lei"
 6.295-490.,Solutie  pentru indepartarea petelor RM769,"81,16 lei"
 6.394-409.,Recipient pulverizare pompa 1 l,"160,00 lei"
 6.295-854.,Detergent pentru curatarea materialelor textile RM 764 10L,"390,00 lei"
 6.294-844.,"Detergent pentru curatarea covoarelor, pudra, RM 760, 10  kg","550,00 lei"
 1.527-181.,Aspirator uscat T 7/1 Classic,"650,00 lei"
 1.633-550.,Aspirator pentru geamuri profesional WV 10,"699,00 lei"
 1.527-145.,Aspirator uscat T 7/1 eco!efficiency,"780,00 lei"
 1.527-199.,Aspirator uscat T 11/1 Classic HEPA,"820,00 lei"
 1.527-150.,Aspirator uscat T10/1,"840,00 lei"
 1.378-600.,ASPIRATOR USCAT - UMED NT 22/1 Ap L *EU,"925,00 lei"
 1.378-610.,ASPIRATOR UMED-USCAT NT 22/1 Ap Te *EU,"965,00 lei"
 1.428-500.,Aspirator uscat - umed NT 27/1,"970,00 lei"
 1.633-560.,Aspirator pentru geamuri profesional WV 10 Advanced,"980,00 lei"
 1.428-522.,Aspirator uscat - umed NT 27/1 Te,"980,00 lei"
. Permite..,Matura cu acumulator  EB 30/1 Li-Ion,"1 032,00 lei"
 1.428-100.,Aspirator uscat - umed NT 27/1 Me,"1 115,00 lei"
 1.527-413.,Aspirator uscat T 10/1 eco!efficiency,"1 130,00 lei"
 1.378-500.,ASPIRATOR USCAT - UMED NT 20/1 Ap*EU,"1 143,00 lei"
 1.394-223.,Aspirator HV 1/1 Bp As,"1 200,00 lei"
 1.394-222.,Aspirator HV 1/1 Bp Cs *EU,"1 214,00 lei"
 1.394-221.,Aspirator HV 1/1 Bp Fs,"1 227,00 lei"
 1.394-260.,ASPIRATOR HV 1/1 Bp Cs,"1 230,00 lei"
 1.378-510.,ASPIRATOR USCAT - UMED NT 20/1 Ap Te *EU,"1 268,00 lei"
"total, un..",Aspirator uscat T 12/1,"1 320,00 lei"
sa in pache,Drujba electrica MT HT 550/36,"1 320,00 lei"
 disponibil,Aspirator umed uscat NT 50/1 Me Classic,"1 350,00 lei"
 1.428-620.,ASPIRATOR UMED-USCAT NT 48/1,"1 435,00 lei"
ta pentru..,Aspirator uscat T 12/1 eco!efficiency,"1 510,00 lei"
fara bateri,Suflanta LB 960/36 Bp,"1 600,00 lei"
est model..,Matura electrica EB 30/1 Adv Li-Ion,"1 655,00 lei"
e NT 14/1..,Aspirator uscat - umed NT 14/1 Ap Te Adv,"1 743,49 lei"
 1.148-221.,Aspirator umed uscat NT30/1 Ap L *EU,"1 790,00 lei"
 1.042-210.,Motopompa de apă semimurdară WWP 45,"1 856,00 lei"
 1.148-321.,Aspirator umed -uscat  NT 40/1 Ap L,"1 905,00 lei"
 1.355-235.,Aspirator uscat T 15/1 HEPA,"1 912,00 lei"
 1.355-246.,Aspirator uscat T 15/1 eco!efficiency,"1 942,00 lei"
i incarcato,Masina de tuns iarba LT 380/36 Bp,"1 985,00 lei"
 1.042-506.,Aparat de tuns gard viu HT 650/36 Bp,"2 068,00 lei"
i incarcato,Aparat de tuns iarba BCU 260/36 Bp,"2 076,00 lei"
 măturare..,MASINA DE MATURAT KM 70/15 C,"2 150,00 lei"
 1.023-121.,Aspirator cu perii pentru covor CV 30/1,"2 160,00 lei"
de lucru...,Suflanta AB 20/1 Ec,"2 250,00 lei"
"lui
cod:..",Aspirator umed- uscat NT30/1 Ap Te L *EU,"2 250,00 lei"
sorii.Cod..,Aspirator uscat - umed NT 45/1 Tact,"2 398,82 lei"
 1.148-201.,ASPIRATOR USCAT - UMED NT 30/1 Tact L,"2 425,00 lei"
osite din..,Aspirator cu spalare Puzzi 8/1 C,"2 429,00 lei"
zonele cu..,Aspirator uscat BV 5/1,"2 540,00 lei"
 1.042-508.,Suflanta LB 930/36 Bp pack,"2 586,00 lei"
mandat de..,Aspirator uscat - umed NT 45/1 Tact Te,"2 624,39 lei"
 1.057-328.,ASPIRATOR CU PERI PENTRU COVOR CV 48/2,"2 650,00 lei"
fara bateri,Suflanta BLB 1060/36 Bp,"2 715,00 lei"
:1.517-106.,Masina de maturat KM 70/20 C,"2 722,00 lei"
 1.148-281.,ASPIRATOR UMED-USCAT NT 30/1 Tact Te Adv L,"2 800,00 lei"
are umeda..,ASPIRATOR USCAT - UMED NT 30/1 Tact Te L,"2 820,00 lei"
 1.033-336.,ASPIRATOR CU PERI PENTRU COVOR CV 38/2 Adv *EU,"2 862,00 lei"
epozitate..,Aspirator uscat - umed NT 55/1 Tact,"2 903,46 lei"
 1.042-207.,Generator PGG 3/1 pe benzina,"2 950,00 lei"
 1.520-900.,APARAT DE CURATAT CU INALTA PRESIUNE HD 5/12 C,"2 984,00 lei"
